category,headline,links,short_description,keywords,predicted_category
WELLNESS,"Mindful At Work Challenge, Day 3: Changing Your Perspective",https://www.huffingtonpost.com/entry/mindful-at-work-challenge_us_5b9dcdcae4b03a1dcc8d18b6,"Through the awareness of breath and sound meditations we've been exploring these past couple of days, we're developing our",mindful-at-work-challenge,WELLNESS
WELLNESS,8 Nutritionists Share Their Food Diaries,https://www.huffingtonpost.comhttp://www.refinery29.com/nutritionists-food-diary?utm_source=huffposthealthyliving&utm_medium=syndication#slide-1,"While we're firm believers that the key to a healthy and happy diet is to enjoy everything in moderation (yes, we still want",,WELLNESS
WELLNESS,10 Beliefs That May Be Keeping You From the Life You Want,https://www.huffingtonpost.com/entry/overcoming-fear_us_5b9b9971e4b03a1dcc78efa3,"When you carry around a heavy load of internal rules -- ""shoulds"" -- you become worn down and burdened by your own expectations. Try picking one belief that you're willing to let go.",overcoming-fear,WELLNESS
WELLNESS,Relax! You'll Be More Productive,https://www.huffingtonpost.comhttp://www.nytimes.com/2013/02/10/opinion/sunday/relax-youll-be-more-productive.html?_r=0,THINK for a moment about your typical workday. Do you wake up tired? Check your e-mail before you get out of bed? Skip breakfast,,BUSINESS
WELLNESS,Don't Ever Be in a Food Emergency Again,https://www.huffingtonpost.com/entry/healthy-snacks_us_5b9d592ee4b03a1dcc86f137,"Here are easy-to-make or easy-to-buy foods that you can grab and go anywhere with. We all travel out of the house frequently, and with a little bit of planning and shopping, we can stay healthy and keep ourselves out of food emergencies.",healthy-snacks,FOOD & DRINK
WELLNESS,"Social Network Size Linked With Brain Region Size, Connectivity: Study",https://www.huffingtonpost.com/entry/social-network-brain-size-connectivity_us_5b9da855e4b03a1dcc8aef60,"Indeed, an association was found between size of certain brain regions, connectivity between brain regions and the size of",social-network-brain-size-connectivity,WELLNESS
WELLNESS,A Meditation on the Boston Marathon Bombing,https://www.huffingtonpost.com/entry/boston-marathon-tragedy_us_5b9d0dfde4b03a1dcc8413b3,"We cannot let yesterday's attack, an assault on the essence of the human spirit, create within us fragmentation and destruction. We must continue to achieve. We must continue to come together.",boston-marathon-tragedy,WELLNESS
WELLNESS,Food Is Love!,https://www.huffingtonpost.com/entry/weight-loss-tips_us_5b9cade3e4b03a1dcc80d04b,"I'm still losing weight (at this point, 140 pounds). However, far greater in importance to me is this: I'm learning an incredible amount about nutrition, cooking, and exercise, and I finally feel I'm developing a healthy relationship with food.",weight-loss-tips,WELLNESS
WELLNESS,Shower Bliss: 6 Habits to Create Peace as You Start Your Day,https://www.huffingtonpost.com/entry/mindfulness-practice_us_5b9cfd87e4b03a1dcc839315,"The morning is a critical time for setting the tone of your day.  You can start out of the gate frenzied, frantic, and flummoxed or confident, cheerful, and calm.  Which way sounds more appealing to you?",mindfulness-practice,WELLNESS
WELLNESS,5 Critical Ways Loss Disrupts Our Lives,https://www.huffingtonpost.com/entry/dealing-with-loss_us_5b9dee29e4b03a1dcc8ef403,"Recovering from loss takes time but there are ways to treat our psychological injuries. Caring for our emotional wounds will help accelerate the recovery process so we emerge from our loss with our lives, identities, relationships, and beliefs intact.",dealing-with-loss,WELLNESS
WELLNESS,"Teen Moms, Young Moms Endure Alarmingly-High Levels of Childhood Trauma, Crittenton Study Finds (Part Two)",https://www.huffingtonpost.com/entry/teen-moms_us_5b9c87bde4b03a1dcc7f7edb,The good news is that services provided by organizations such as Crittenton can help people turn their lives around and interrupt the cycle of parents passing on their high ACE scores to their children.,teen-moms,PARENTING
WELLNESS,Next Steps for Sandy Hook: Surviving Guilt,https://www.huffingtonpost.com/entry/survivors-guilt_us_5b9ca4f3e4b03a1dcc8083e4,Survivors of tragedies struggle in ways that most people find hard to understand. The emotions are complex and confusing. The feelings depend upon on the psychological makeup of the individual involved and vary depending on the nature of the traumatic event.,survivors-guilt,WELLNESS
WELLNESS,"FDA Rejects New Insomnia Drug Suvorexant, Seeks Lower Dose",https://www.huffingtonpost.com/entry/suvorexant-insomnia-drug-fda-lower-dose_us_5b9d4ff8e4b03a1dcc868e5a,Merck said it received a complete response letter from the U.S. Food and Drug Administration saying that the agency could,suvorexant-insomnia-drug-fda-lower-dose,WELLNESS
WELLNESS,"Don't Diet, Live It!",https://www.huffingtonpost.com/entry/stop-overeating_us_5b9be91be4b03a1dcc7b128a,"Imagine living in a culture that teaches us we are worthy, no matter what we look like.  Imagine a culture that values compassion and kindness more than the number on a scale.",stop-overeating,WELLNESS
WELLNESS,The Positive Psychological Effects of Prayer,https://www.huffingtonpost.com/entry/prayer_us_5b9d0834e4b03a1dcc83e587,Prayer is the practice of connecting to something deeper and more meaningful in life.  It is rooted in a sense of spirituality.,prayer,WELLNESS
WELLNESS,Capitol Hill Shooting: Child Unharmed?,https://www.huffingtonpost.com/entry/capitol-hill-shooting_us_5b9d9386e4b03a1dcc89b595,"These recent horrific shootings -- from Sandy Hook Elementary, to the U.S. Navy Yard, to Capitol Hill -- highlight the necessity",capitol-hill-shooting,POLITICS
WELLNESS,Mindfulness-Based Therapies May Help Ease Stress Of Cancer Treatment,https://www.huffingtonpost.com/entry/mindfulness-cancer-treatment-therapies-stress_us_5b9d0e5de4b03a1dcc841804,"Emotional distress, in turn, can have a significant impact on the course of the illness. Depression has been shown to hasten",mindfulness-cancer-treatment-therapies-stress,WELLNESS
WELLNESS,Effective Care: 5 Valuable Questions to Ask Your Doctor,https://www.huffingtonpost.com/entry/what-you-should-ask-your-doctor_us_5b9d3dd1e4b03a1dcc85dbd7,"Though it may seem like a superfluous appointment in your day, think of the time spent with your doctor as a roadmap to maintaining a healthy lifestyle and increasing longevity. If a once-per-year visit with your doctor can unlock valuable information that will help you make positive changes, what are you waiting for?",what-you-should-ask-your-doctor,WELLNESS
WELLNESS,"Motivational Video, Headspace: What Are The Benefits Of Meditation? (WATCH)",https://www.huffingtonpost.com/entry/motivational-video-meditation_us_5b9c7da5e4b03a1dcc7f238c,"Why meditate? For one, to clear a cloudy mind. Find out other reasons to meditate from 'Mind Man' Andy Puddicombe in the",motivational-video-meditation,WELLNESS
WELLNESS,10 Celebrities Leading The Wellness Revolution,https://www.huffingtonpost.com/entry/celebrity-health-10-stars_us_5b9cec22e4b03a1dcc82f884,"In the past decade, yoga studios and juice cleanse services have become as ubiquitous in Hollywood as red carpets and Christian",celebrity-health-10-stars,WELLNESS
WELLNESS,7 Things Fit People Do,https://www.huffingtonpost.com/entry/fitness-and-exercise_us_5b9da0dbe4b03a1dcc8a74cc,Fit is a lifestyle. It's about making the right choices on a daily basis. Shifting your mindset to make physical activity and healthy eating a natural choice will greatly affect your life. Here's what fit people do.,fitness-and-exercise,WELLNESS
WELLNESS,Flu Shots May Not Protect The Elderly Or The Very Young,https://www.huffingtonpost.com/entry/flu-shots-elderly-very-young-protect-age_us_5b9c6d24e4b03a1dcc7e8b74,"In healthy adults under the age of 65, flu vaccines work, too. A 2010 Cochrane review, also co-authored by Jefferson, estimated",flu-shots-elderly-very-young-protect-age,WELLNESS
WELLNESS,How to Be Fearlessly Creative,https://www.huffingtonpost.com/entry/fear-tips_us_5b9cec24e4b03a1dcc82f8c1,"I've learned to separate my fears from my intuition and, at times, to follow my intuition through the fear. I've learned that love is a powerful antidote and can scare the demons back into the dark -- but according to Srinivasen S. Pillay, the main enemy of fear isn't love.",fear-tips,WELLNESS
WELLNESS,My Colonoscopy,https://www.huffingtonpost.com/entry/colonoscopy-procedure_us_5b9cf3c5e4b03a1dcc833dd6,"Take good care of yourself, and you will be taking good care of your GI tract. Take good care of your GI tract, and it will very probably take good care of you. But it is working hard every day, and may well suffer effects of wear and tear as a result, much like your skin.",colonoscopy-procedure,WELLNESS
WELLNESS,High Well-Being Could Make You More Altruistic,https://www.huffingtonpost.com/entry/altruistic-well-being-kidney-donation_us_5b9dd31fe4b03a1dcc8d5d55,Altruism doesn't just help others -- research shows that it can also benefit the person who is giving back. Benefits include,altruistic-well-being-kidney-donation,WELLNESS
WELLNESS,I Lost Weight: Mindy Witthoft Fell In Love With Hiking And Lost 124 Pounds,https://www.huffingtonpost.com/entry/i-lost-weight-mindy-witthoft_us_5b9cb79ae4b03a1dcc812c28,"Name: Mindy Witthoft Age: 31 Height: 5'9"" Before Weight: 300 pounds. It could have been more. I actually didn't own a scale",i-lost-weight-mindy-witthoft,WELLNESS
WELLNESS,"Bye-Bye Retirement, Hello Life!",https://www.huffingtonpost.com/entry/byebye-retirementhello-li_us_5b9dccd0e4b03a1dcc8d0cec,"What if there is no retirement? What if we don't wait until 65 to enjoy life and connect with our passions? What if the so called ""Act 2"" when retirees find their dream jobs doing what they love to do actually happens now when we are in our 20s, 30s and 40s?",byebye-retirementhello-li,WELLNESS
WELLNESS,Coming Clear: Confessions of a Packrat,https://www.huffingtonpost.com/entry/coming-clear-confessions-of-a-packrat_us_5b9debc7e4b03a1dcc8eca22,Even a single paperclip or hairball has the potential to change our lives. Would you like to lighten your load right now? Consider this simple clearing practice.,coming-clear-confessions-of-a-packrat,WELLNESS
WELLNESS,Calling in Crazy: Why We Must Normalize Mental Illness,https://www.huffingtonpost.com/entry/mental-illness-stigma_us_5b9b605ee4b03a1dcc770c3c,"Throughout our lives, we travel a health-to-illness continuum, always seeking a return to wellbeing.  While we acknowledge the physical realities of this continuum, it's harder to accept the emotional, cognitive and behavioral aspects.",mental-illness-stigma,WELLNESS
WELLNESS,Reframing Relationship Fear: Living and Loving in the Moment,https://www.huffingtonpost.com/entry/love-and-relationships_us_5b9d87eee4b03a1dcc892c89,I will give kisses and hugs and smiles so big that it lights up my entire soul. I will dance in the rain and laugh as hard as I can and let myself feel all the good stuff life has to offer.,love-and-relationships,WELLNESS
WELLNESS,Parkinson's Personality: Disease More Likely To Strike Cautious People,https://www.huffingtonpost.comhttp://www.myhealthnewsdaily.com/2521-parkinsons-disease-personality-risk-avoidance.html?utm_content=MyHealth_MHND&utm_campaign=seo%2Bblitz&utm_source=twitter.com&utm_medium=social%2Bmedia,"Some personality traits appear to be linked with the risk of developing Parkinson's disease, a new study suggests. The results",,WELLNESS
WELLNESS,Antibacterial Products: More Harm Than Good,https://www.huffingtonpost.com/entry/antibacterial-soap_us_5b9daa57e4b03a1dcc8b12c7,Make it a priority to avoid all antibacterial products -- including that antibacterial soap you thought would keep you and your kids from getting the flu. Good old fashioned soap and water works just fine.,antibacterial-soap,WELLNESS
WELLNESS,Wheelchair Wisdom: Use Everything to Your Advantage,https://www.huffingtonpost.com/entry/life-lessons_us_5b9c6afbe4b03a1dcc7e7b8b,"Clearly, I was surrounded by obstacles that indeed had the potential for creating a lot of frustration. But the total absurdity of it somehow helped open my eyes to my own humanness and to the kindness of this young woman who really was doing her very best to be helpful.",life-lessons,WELLNESS
WELLNESS,The Weight of the 'Wait',https://www.huffingtonpost.com/entry/caregiving_us_5b9cd8f9e4b03a1dcc8265bb,"As caregivers, there is nothing that we can do to influence the results. Yet waiting for the outcome can weigh so heavily on us. No doubt about it, the sheer weight of the situation equals stress, and potentially a lot of it.",caregiving,WELLNESS
WELLNESS,30-Day Summer Shape Up Day 15: How to Build Muscle Fast!,https://www.huffingtonpost.com/entry/build-muscle_us_5b9bc228e4b03a1dcc7a20c6,Summer means short sleeves and short shorts -- and that means revealing muscles that may have been hibernating through the winter.,build-muscle,WELLNESS
WELLNESS,A Lesson in Affection: So You Say You Want it -- But Do You Feel Worthy?,https://www.huffingtonpost.com/entry/self-worth_us_5b9c0139e4b03a1dcc7bb1c4,"We are all born worthy. Somewhere along the way, depending on our circumstances, some of us learn to believe otherwise. What better time than now to realize (see with our real eyes) that we are worthy of our fondest dreams and better?",self-worth,WELLNESS
WELLNESS,Doctors Can Eliminate Waste From Health Care,https://www.huffingtonpost.com/entry/health-care-costs_us_5b9c5495e4b03a1dcc7dd787,"There is another less-talked-about reason for unnecessary services. One person's waste is another person's income. Another cardiac catherization, another back surgery means more income for doctors, hospitals and the health care system and its archaic administrative services.",health-care-costs,WELLNESS
WELLNESS,How to Build a Great Relationship in 15 Minutes a Day,https://www.huffingtonpost.com/entry/relationship-advice_us_5b9c18f3e4b03a1dcc7c4ea9,Good relationships -- professional or personal -- take time.  But you don't have to spend endless hours to have a positive impact on someone.  Regular snippets of focused time add up.,relationship-advice,WELLNESS
WELLNESS,Children's A.D.D. Drugs Don't Work Long-Term,https://www.huffingtonpost.comhttp://www.nytimes.com/2012/01/29/opinion/sunday/childrens-add-drugs-dont-work-long-term.html?_r=2&scp=1&sq=l.alan%20sroufe&st=cse,"THREE million children in this country take drugs for problems in focusing. Toward the end of last year, many of their parents",,PARENTING
WELLNESS,Dark Chocolate And Cocoa Powder May Help Lower Blood Pressure,https://www.huffingtonpost.com/entry/dark-chocolate-cocoa-flavanols-blood-pressure_us_5b9c2456e4b03a1dcc7c975a,"However, they didn't observe any big drops in blood pressure in trials comparing consumption of high flavanol-containing",dark-chocolate-cocoa-flavanols-blood-pressure,WELLNESS
WELLNESS,Help I Have The Flu' Facebook App Suggests Who Got You Sick By Scanning Friends' Updates,https://www.huffingtonpost.com/entry/flu-app-help-i-havfind-out-who-got-you-sick_us_5b9cb14be4b03a1dcc80f1a3,"Flu sufferers can now collect more information about the origins of their germs, thanks to a new Facebook app. ""Help, I have",flu-app-help-i-havfind-out-who-got-you-sick,WELLNESS
WELLNESS,Should You Take A Multivitamin?,https://www.huffingtonpost.com/entry/should-you-take-a-multivitamin_us_5b9c130ae4b03a1dcc7c269f,"Although, according to Lichtenstein, the profile of the average multivitamin user is this: a middle-aged woman who eats healthfully",should-you-take-a-multivitamin,BUSINESS
WELLNESS,"Health Blog Roundup: Yoga For Tight Shoulders, How To Stay Healthy On Vacation And More",https://www.huffingtonpost.com/entry/health-blog-roundup-fit-links-august-24_us_5b9c2d94e4b03a1dcc7ce059,Does your workout invigorate you or zap of you of energy? SparkPeople has tips on how to avoid hitting the wall. Well + Good,health-blog-roundup-fit-links-august-24,WELLNESS
WELLNESS,Shades of Blue for Benghazi,https://www.huffingtonpost.com/entry/grief_us_5b9c4bf7e4b03a1dcc7da1be,"So what can we do while dwelling in shades of blue?  First, we can remember that feeling grief is a natural and normal response that honors the very vibrancy of human life, the loss of which we mourn.",grief,WELLNESS
WELLNESS,Hypersexual Disorder: Diagnostic Criteria For DSM-5 Tested In New Study,https://www.huffingtonpost.com/entry/hypersexual-disorder-dsm-5-diagnostic-criteria_us_5b9c7176e4b03a1dcc7eaea2,Sex addiction may soon be an official clinical diagnosis in the forthcoming Diagnostic and Statistical Manual of Mental Disorders,hypersexual-disorder-dsm-5-diagnostic-criteria,WELLNESS
WELLNESS,How One Little Comma Can Change Your Life,https://www.huffingtonpost.com/entry/life-journey_us_5b9d2977e4b03a1dcc850a48,"Life's commas are just like the ones we got used to during those mundane classroom lessons. They are a time to pause, reflect, catch our breath then move on. They aren't the end.",life-journey,WELLNESS
WELLNESS,Mother's Day: Celebrating the Universal Maternal Divine,https://www.huffingtonpost.com/entry/mothers-day_us_5b9bb246e4b03a1dcc79a94c,"This Mother's Day, let us toast our universal Maternal Creatrix, our mutual Mother Earth, our biological mothers, and our own mothering impulses with the nurturing milk of human kindness.",mothers-day,PARENTING
WELLNESS,"If You Don't Want Her to Be a Nag, Treat Her Like a Thoroughbred",https://www.huffingtonpost.com/entry/if-you-dont-want-her-to-b_us_5b9dfc6fe4b03a1dcc8ff11c,"Deep, compassionate, committed listening is what breaks the dark spell. Out of the emotional connection, understanding, a newfound cooperation, more trust, peace of mind, and ease is present in the relationship and in your life in general.",if-you-dont-want-her-to-b,WELLNESS
WELLNESS,Take Your Body With You,https://www.huffingtonpost.com/entry/spirituality-and-meditation_us_5b9d7cf8e4b03a1dcc889a72,"You are your body. When you meditate, include the body. When you get enlightened, it is the body getting enlightened. If you can't take your body with you, don't go there.",spirituality-and-meditation,WELLNESS
WELLNESS,One-Size Nutrition Profession Doesn't Fit All,https://www.huffingtonpost.com/entry/nutrition-advice-providers_us_5b9d2cd8e4b03a1dcc852df5,"More and more, health professionals from varied fields put their energies, time and money toward gaining the knowledge and experience necessary to effectively embrace the power of nutrition. But astonishingly, health professionals with nutrition tools to reverse chronic health conditions are gagged in many states.",nutrition-advice-providers,WELLNESS
WELLNESS,A Room With A View: Window Office Improves Sleep,https://www.huffingtonpost.comhttp://www.foxnews.com/health/2013/06/20/room-with-view-window-office-improves-sleep/#ixzz2WrGXMejA,"Getting a window office may not just be good for your career, but it appears to be good for your health. A new study found",,WELLNESS
WELLNESS,Fighting Disease With Words,https://www.huffingtonpost.com/entry/fighting-cancer-with-words_us_5b9cca45e4b03a1dcc81e14d,"One hospital stay left me confined to the walls of a very small room, no one allowed to enter without wearing a mask, gloves and a gown. But what quarantine couldn't take away was the connections I could make with my writing.",fighting-cancer-with-words,WELLNESS
WELLNESS,The Balanced Life,https://www.huffingtonpost.com/entry/balance_us_5b9b9c49e4b03a1dcc7907c5,How can we understand our relationship with excess? How do we continue to believe that more money or cars or shoes or food or sex will make us happy? Why are we the only animal that can be made ill by our appetites?,balance,WELLNESS
WELLNESS,I Drank the CrossFit Kool-Aid',https://www.huffingtonpost.com/entry/crossfit-debate_us_5b9cc981e4b03a1dcc81d989,"When I was first introduced to CrossFit, I found it to be the hardest workout that I'd ever done. The results that I have seen in my strength and physicality have been unparalleled to any other things I have ever done in my more than 20 years in the fitness business.",crossfit-debate,WELLNESS
WELLNESS,Tragedy in a Community: The Balance of Support and Privacy,https://www.huffingtonpost.com/entry/dealing-with-tragedy_us_5b9d435fe4b03a1dcc860fc5,When tragedy strikes it is our natural spirit to want to do something to manage our own feelings of helplessness and compassion. But perhaps in addition to what we do we need to focus on what we don't do as well.,dealing-with-tragedy,WELLNESS
WELLNESS,Young Adult Cancer: Year in Review,https://www.huffingtonpost.com/entry/2012-young-adult-cancer_us_5b9ca5d7e4b03a1dcc808b6b,"Although there seems to be a lot of going on for breast cancer (read: marketing), things aren't as cut and clear for the rest of the cancer world in America, especially for the young adult cancer community.",2012-young-adult-cancer,WELLNESS
